Kode_Okupasi,Okupasi,Kode_Unit_Kompetensi,Judul_Unit_Kompetensi,Status_UK,Referensi
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.016.01,Menulis Kode dengan Prinsip sesuai Guidelines dan Best Practices,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.017.02,Mengimplementasikan Pemrograman Terstruktur,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.018.02,Mengimplementasikan Pemrograman Berorientasi Objek,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.022.02,Mengimplementasikan Algoritma Pemrograman,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.004.02,Menggunakan Struktur Data,,J.
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),J.620100.001.01,Menganalisis Tools,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),,Bertanggung Jawab untuk Menjaga dan Mengembangkan Semua Bagian dari Sistem Pelayanan Merancang Aplikasi yang Aman,,
TIK.DEV0303,PEMROGRAM BACK-END JUNIOR (JUNIOR BACK-END PROGRAMMER),,"Berpartisipasi dalam semua fase siklus pengembangan, berfokus pada coding, pengujian, dan debugging",,
TIK.DEV0304,DUKUNGAN TEKNIK JUNIOR (JUNIOR TECHNICAL SUPPORT),J.620900.004.02,Merancang Spesifikasi Sesuai dengan Fungsi dan Kebutuhan Pengguna,Berlaku,Nomor 285 Tahun 2016
TIK.DEV0304,DUKUNGAN TEKNIK JUNIOR (JUNIOR TECHNICAL SUPPORT),J.620900.026.02,Melakukan Instalasi Software Aplikasi,Berlaku,Nomor 285 Tahun 2016
TIK.DEV0304,DUKUNGAN TEKNIK JUNIOR (JUNIOR TECHNICAL SUPPORT),J.620900.033.02,Melakukan Backup Data dan Sistem,Berlaku,Nomor 285 Tahun 2016
TIK.DEV0305,MANAJEMEN INFORMASI JUNIOR (JUNIOR INFORMATION MANAGEMENT),J.620900.026.02,Melakukan Instalasi Software Aplikasi,Berlaku,Nomor 285 Tahun 2016
TIK.DEV0305,MANAJEMEN INFORMASI JUNIOR (JUNIOR INFORMATION MANAGEMENT),J.620900.033.02,Melakukan backup data dan aplikasi,Berlaku,Nomor 285 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.009.01,Menggunakan Spesifikasi Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.010.02,"Menerapkan Perintah Eksekusi Bahasa Pemrograman Berbasis Teks, Grafik, dan Multimedia",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.011.01,Melakukan Instalasi Software Tools Pemrograman,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.012.01,Melakukan Pengaturan Software Tools Pemrograman,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.015.01,"Menyusun Fungsi, File atau Sumber Daya Pemrograman yang Lain dalam Organisasi yang Rapi",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.016.01,Menulis Kode dengan Prinsip sesuai Guidelines dan Best Practices,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),J.620100.017.02,Mengimplementasikan Pemrograman Terstruktur,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),,Menyiapkan Bahasa pemrograman sesuai arahan,,
TIK.DEV0202,STAF PUSTAKAWAN MULTIMEDIA (MULTIMEDIA LIBRARIAN STAFF),J.59MTMO00.029.1,Mendistribusikan Asset Multimedia,Berlaku,Nomor 107 Tahun 2018
TIK.DEV0202,STAF PUSTAKAWAN MULTIMEDIA (MULTIMEDIA LIBRARIAN STAFF),M.74DKV13.010.3,Mengoperasikan Perangkat Lunak Desain,Berlaku,Nomor 126 Tahun 2023
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),BSBINN801,Lead Innovative Thinking and Practice (Memimpin Pemikiran dan Praktek Inovatif),Berlaku,Nomor 22 Tahun 2019
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),M.70BDA00.001.1,Menganalisis Informasi Terkait Daftar Permasalahan Organisasi,Berlaku,Nomor 200 Tahun 2021
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),J.62DMS00.001.1,Mengidentifikasi kebutuhan pengelolaan data untuk proses bisnis,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),J.62DMI00.020.1,Melakukan Review Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),BSBREL701A,Develop and cultivate collaborative partnerships and relationships (Mengembangkan dan Membina Kemitraan dan Hubungan Kolaboratif),Berlaku,Nomor 22 Tahun 2019
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),J.620200.008.01,Menyusun Roadmap dan Komponen Arsitektur Data,Berlaku,Nomor 90 Tahun 2015
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.620200.007.01,"Menentukan Metode Pemodelan, Sudut Pandang dan Perangkat Bantu untuk Merancang Arsitektur Data",Berlaku,Nomor 90 Tahun 2015
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.620200.008.01,Menyusun Roadmap dan Komponen Arsitektur Data,Berlaku,Nomor 90 Tahun 2015
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.620200.009.01,Memfinalisasikan Arsitektur Data,Berlaku,Nomor 90 Tahun 2015
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.62DMS00.002.1,Merencanakan Manajemen Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.62DMS00.003.1,Merencanakan Arsitektur Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.62DMS00.004.1,Merencanakan Integrasi Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),J.62DMS00.012.1,Mengelola kualitas data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62DMS00.001.1,Mengidentifikasi kebutuhan pengelolaan data untuk proses bisnis,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.620200.004.01,Menyusun Roadmap Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62DMS00.003.1,Merencanakan Arsitektur Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62DMS00.004.1,Merencanakan Integrasi Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62DMS00.005.1,Merencanakan Media Penyimpanan Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62DMS00.012.1,Mengelola kualitas data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62PDP00.010.1,Menyusun Manajemen Pelindungan Data Pribadi Pada Domainnya,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.001.1,Menentukan Objektif Bisnis,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.002.1,Menentukan Tujuan Teknis Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.003.1,Membuat Rencana Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.015.1,Melakukan Proses Review Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.020.1,Melakukan Review Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),J.62DMI00.021.1,Membuat Laporan Akhir Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),C.222930.017.01,Mengelola Tim Kerja,Berlaku,Nomor 125 Tahun 2016
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62DMS00.001.1,Mengidentifikasi kebutuhan pengelolaan data untuk proses bisnis,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62DMS00.002.1,Merencanakan Manajemen Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62DMS00.003.1,Merencanakan Arsitektur Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62DMS00.020.1,Menjaga Kualitas Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62PDP00.009.1,Menyusun Tata Kelola Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),J.62PDP00.010.1,Menyusun Manajemen Pelindungan Data Pribadi Pada Domainnya,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.001.1,Menentukan Objektif Bisnis,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.002.1,Menentukan Tujuan Teknis Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.003.1,Membuat Rencana Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.015.1,Melakukan Proses Review Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.020.1,Melakukan Review Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),J.62DMI00.021.1,Membuat Laporan Akhir Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),C.222930.017.01,Mengelola Tim Kerja,Berlaku,Nomor 125 Tahun 2016
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62AIN00.001.1,Menentukan Sasaran Bisnis Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62AIN00.002.1,Menentukan Sasaran Teknis Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62AIN00.004.1,Membuat Rencana Proyek Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62DMI00.015.1,Melakukan Proses Review Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62DMI00.016.1,Membuat Rencana Deployment Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62DMI00.018.1,Membuat Rencana Pemeliharaan Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62DMI00.020.1,Melakukan Review Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62PDP00.010.1,Menyusun Manajemen Pelindungan Data Pribadi Pada Domainnya,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),C.222930.017.01,Mengelola Tim Kerja,Berlaku,Nomor 125 Tahun 2016
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.001.1,Menentukan Sasaran Bisnis Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.002.1,Menentukan Sasaran Teknis Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.003.1,Menentukan Arsitektur Teknis dari Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.004.1,Membuat Rencana Proyek Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.014.1,Mengintegrasikan Komponen Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.006.1,Mendesain Pengetahuan Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62AIN00.016.1,Merencanakan Perawatan Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62PDP00.010.1,Menyusun Manajemen Pelindungan Data Pribadi Pada Domainnya,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),J.62DMI00.021.1,Membuat Laporan Akhir Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.001.1,Mengidentifikasi kebutuhan pengelolaan data untuk proses bisnis,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.002.1,Merencanakan Manajemen Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.003.1,Merencanakan Arsitektur Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.004.1,Merencanakan Integrasi Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.005.1,Merencanakan Media Penyimpanan Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.007.1,Merancang bangun Big Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.008.1,Mengelola Reference and Master Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.009.1,Mengelola Metadata,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.012.1,Mengelola kualitas data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62DMS00.014.1,Membuat Data Warehouse,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.001.1,Menentukan Objektif Bisnis,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.002.1,Menentukan Tujuan Teknis Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.005.1,Menelaah Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.006.1,Memvalidasi Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.007.1,Menentukan Objek Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.008.1,Membersihkan Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.009.1,Mengkonstruksi Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.012.1,Membangun Skenario Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.013.1,Membangun Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.014.1,Mengevaluasi Hasil Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),J.62DMI00.015.1,Melakukan Proses Review Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.002.1,Menentukan Tujuan Teknis Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.003.1,Membuat Rencana Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.013.1,Membangun Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.014.1,Mengevaluasi Hasil Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.017.1,Melakukan Deployment Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.019.1,Melakukan Pemeliharaan Model,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),J.62DMI00.021.1,Membuat Laporan Akhir Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62AIN00.002.1,Menentukan Sasaran Teknis Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62AIN00.004.1,Membuat Rencana Proyek Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62DMI00.015.1,Melakukan Proses Review Pemodelan,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62DMI00.020.1,Melakukan Review Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62AIN00.015.1,Memasang Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62AIN00.017.1,Merawat Solusi Artificial Intelligence (AI),Berlaku,Nomor 123 Tahun 2021
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62PDP00.011.1,Menerapkan Program Kerja Pelindungan Data Pribadi,Berlaku,Nomor 103 Tahun 2023
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),J.62DMI00.021.1,Membuat Laporan Akhir Proyek Data Science,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMS00.001.1,Mengidentifikasi kebutuhan pengelolaan data untuk proses bisnis,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMS00.004.1,Merencanakan Integrasi Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMI00.004.1,Mengumpulkan Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMI00.005.1,Menelaah Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMI00.006.1,Memvalidasi Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMI00.007.1,Menentukan Objek Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMI00.008.1,Membersihkan Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0602,ANALIS DATA (DATA ANALYST),J.62DMS00.015.1,Membuat Business Intelligence,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.62DMS00.006.1,Merancang basis data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.62DMS00.010.1,Membuat basis data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.62DMS00.012.1,Mengelola kualitas data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.62DMS00.016.1,Mengelola dokumen dan konten,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.620100.020.02,Menggunakan SQL,Berlaku,Nomor 282 Tahun 2016
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.620100.021.02,Menerapkan Akses Basis Data,Berlaku,Nomor 282 Tahun 2016
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),J.62DMS00.017.1,Mengadministrasi Basis Data,Berlaku,Nomor 268 Tahun 2020
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),J.62DMI00.004.1,Mengumpulkan Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),J.62DMI00.005.1,Menelaah Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),J.62DMI00.006.1,Memvalidasi Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),J.62DMI00.007.1,Menentukan Objek Data,Berlaku,Nomor 299 Tahun 2020
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),J.62DMI00.009.1,Mengkonstruksi Data,Berlaku,Nomor 299 Tahun 2020
